link,ts[deciseconds],state,errors,lat[deg/10000],lon[deg/10000],altitude[m],velocity[m/s],battery[decivolts],pyro1,pyro2
1,263,3,16,0,0,0,6,2,0,0
1,264,3,16,0,0,2,16,2,0,0
2,264,3,16,0,0,2,16,2,0,0
1,265,3,16,0,0,4,25,2,0,0
2,265,3,16,0,0,4,25,2,0,0
1,266,3,16,0,0,7,33,2,0,0
2,266,3,16,0,0,7,33,2,0,0
1,267,3,16,0,0,11,42,2,0,0
2,267,3,16,0,0,11,42,2,0,0
1,268,3,16,0,0,15,49,2,0,0
2,268,3,16,0,0,15,49,2,0,0
1,270,3,16,0,0,27,63,2,0,0
2,270,3,16,0,0,27,63,2,0,0
1,273,3,16,0,0,48,73,2,0,0
1,275,4,16,0,0,64,71,2,0,0
1,276,4,16,0,0,72,70,2,0,0
2,276,4,16,0,0,72,70,2,0,0
1,277,4,16,0,0,81,70,2,0,0
2,277,4,16,0,0,81,70,2,0,0
1,278,4,16,0,0,89,69,2,0,0
1,281,4,16,0,0,115,69,2,0,0
2,281,4,16,0,0,115,69,2,0,0
1,282,4,16,0,0,124,69,2,0,0
2,282,4,16,0,0,124,69,2,0,0
1,283,4,16,0,0,133,69,2,0,0
2,283,4,16,0,0,133,69,2,0,0
1,284,4,16,0,0,142,69,2,0,0
2,284,4,16,0,0,142,69,2,0,0
1,285,4,16,0,0,150,68,2,0,0
2,285,4,16,0,0,150,68,2,0,0
1,287,4,16,0,0,167,68,2,0,0
2,287,4,16,0,0,167,68,2,0,0
1,288,4,16,0,0,175,67,2,0,0
2,288,4,16,0,0,175,67,2,0,0
1,289,4,16,0,0,183,67,2,0,0
2,289,4,16,0,0,183,67,2,0,0
1,290,4,16,0,0,191,66,2,0,0
2,290,4,16,0,0,191,66,2,0,0
1,291,4,16,0,0,198,65,2,0,0
2,291,4,16,0,0,198,65,2,0,0
1,293,4,16,0,0,212,63,2,0,0
2,293,4,16,0,0,212,63,2,0,0
1,299,4,16,0,0,246,55,2,0,0
1,306,4,16,0,0,275,43,2,0,0
1,307,4,16,0,0,278,42,2,0,0
1,308,4,16,0,0,282,40,2,0,0
1,309,4,16,0,0,285,39,2,0,0
1,310,4,16,0,0,288,37,2,0,0
1,311,4,16,0,0,291,36,2,0,0
1,312,4,16,0,0,294,34,2,0,0
1,313,4,16,0,0,297,33,2,0,0
1,315,4,16,0,0,302,30,2,0,0
2,315,4,16,0,0,302,30,2,0,0
1,316,4,16,0,0,304,29,2,0,0
2,316,4,16,0,0,304,29,2,0,0
1,317,4,16,0,0,307,28,2,0,0
2,317,4,16,0,0,307,28,2,0,0
1,318,4,16,0,0,309,27,2,0,0
2,318,4,16,0,0,309,27,2,0,0
1,319,4,16,0,0,311,25,2,0,0
1,321,4,16,0,0,315,23,2,0,0
2,321,4,16,0,0,315,23,2,0,0
1,322,4,16,0,0,317,22,2,0,0
2,322,4,16,0,0,317,22,2,0,0
1,323,4,16,0,0,319,21,2,0,0
2,323,4,16,0,0,319,21,2,0,0
1,324,4,16,0,0,320,20,2,0,0
2,324,4,16,0,0,320,20,2,0,0
1,325,4,16,0,0,321,19,2,0,0
2,325,4,16,0,0,321,19,2,0,0
1,328,4,20,0,0,325,17,2,0,0
2,328,4,20,0,0,325,17,2,0,0
1,329,4,20,0,0,327,15,2,0,0
2,329,4,20,0,0,327,15,2,0,0
1,330,4,20,0,0,328,14,2,0,0
2,330,4,20,0,0,328,14,2,0,0
1,331,4,20,0,0,329,12,2,0,0
2,331,4,20,0,0,329,12,2,0,0
1,332,4,20,0,0,330,11,2,0,0
2,332,4,20,0,0,330,11,2,0,0
1,333,4,20,0,0,330,9,2,0,0
2,333,4,20,0,0,330,9,2,0,0
1,334,4,20,0,0,331,8,2,0,0
2,334,4,20,0,0,331,8,2,0,0
1,335,4,20,0,0,332,7,2,0,0
2,335,4,20,0,0,332,7,2,0,0
1,336,4,20,0,0,332,6,2,0,0
2,336,4,20,0,0,332,6,2,0,0
1,337,4,20,0,0,332,4,2,0,0
2,337,4,20,0,0,332,4,2,0,0
1,338,4,20,0,0,333,3,2,0,0
2,338,4,20,0,0,333,3,2,0,0
1,340,4,20,0,0,333,1,2,0,0
2,340,4,20,0,0,333,1,2,0,0
1,341,4,20,0,0,333,0,2,0,0
2,341,4,20,0,0,333,0,2,0,0
1,342,4,20,0,0,333,0,2,0,0
2,342,4,20,0,0,333,0,2,0,0
1,343,4,20,0,0,332,-2,2,0,0
2,343,4,20,0,0,332,-2,2,0,0
1,344,4,20,0,0,332,-3,2,0,0
1,345,5,20,0,0,332,-3,21,0,0
2,345,5,20,0,0,332,-3,21,0,0
1,346,5,20,0,0,331,-3,21,0,0
2,346,5,20,0,0,331,-3,21,0,0
1,347,5,20,0,0,331,-3,21,0,0
2,347,5,20,0,0,331,-3,21,0,0
1,348,5,20,0,0,330,-3,22,0,0
2,348,5,20,0,0,330,-3,22,0,0
1,349,5,20,0,0,330,-3,22,0,0
2,349,5,20,0,0,330,-3,22,0,0
1,353,5,20,0,0,328,-3,22,0,0
2,353,5,20,0,0,328,-3,22,0,0
1,355,5,20,0,0,328,-3,22,0,0
2,355,5,20,0,0,328,-3,22,0,0
1,356,5,20,0,0,328,-3,22,0,0
2,356,5,20,0,0,328,-3,22,0,0
1,357,5,20,0,0,327,-3,22,0,0
2,357,5,20,0,0,327,-3,22,0,0
1,358,5,20,0,0,327,-3,22,0,0
1,360,5,20,0,0,326,-3,22,0,0
1,361,5,20,0,0,325,-4,22,0,0
2,361,5,20,0,0,325,-4,22,0,0
1,362,5,20,0,0,324,-4,22,0,0
2,362,5,20,0,0,324,-4,22,0,0
1,363,5,20,0,0,324,-4,22,0,0
2,363,5,20,0,0,324,-4,22,0,0
1,364,5,20,0,0,323,-4,22,0,0
2,364,5,20,0,0,323,-4,22,0,0
1,365,5,20,0,0,322,-5,20,0,0
2,365,5,20,0,0,322,-5,20,0,0
1,367,5,20,0,0,321,-5,16,0,0
1,372,5,20,0,0,316,-7,10,0,0
2,372,5,20,0,0,316,-7,10,0,0
1,375,5,20,0,0,312,-8,8,0,0
1,376,5,20,0,0,311,-8,8,0,0
1,378,5,20,0,0,309,-9,7,0,0
2,378,5,20,0,0,309,-9,7,0,0
1,379,5,20,0,0,308,-9,6,0,0
2,379,5,20,0,0,308,-9,6,0,0
1,382,5,20,0,0,304,-9,6,0,0
2,382,5,20,0,0,304,-9,6,0,0
1,383,5,20,0,0,303,-10,6,0,0
2,383,5,20,0,0,303,-10,6,0,0
1,384,5,20,0,0,302,-10,5,0,0
2,384,5,20,0,0,302,-10,5,0,0
1,385,5,20,0,0,301,-10,5,0,0
2,385,5,20,0,0,301,-10,5,0,0
1,386,5,20,0,0,299,-10,5,0,0
2,386,5,20,0,0,299,-10,5,0,0
1,387,5,20,0,0,298,-10,5,0,0
1,388,5,20,0,0,297,-10,5,0,0
2,388,5,20,0,0,297,-10,5,0,0
1,389,5,20,0,0,296,-10,5,0,0
2,389,5,20,0,0,296,-10,5,0,0
1,390,5,20,0,0,295,-10,4,0,0
2,390,5,20,0,0,295,-10,4,0,0
1,391,5,20,0,0,294,-10,4,0,0
2,391,5,20,0,0,294,-10,4,0,0
1,392,5,20,0,0,293,-11,4,0,0
